judge_count	hedge	max_mean_ns	MTF
25	0.0	0.0	0.0
50	0.0	0.0	0.0
75	0.0	0.0	0.0
100	0.0	0.0	0.0
125	0.0	0.0	0.705
150	0.0	0.12	0.599
175	0.0	0.025	1.0
200	0.0	0.0	1.0
225	0.0	0.944	1.0
250	0.0	1.0	1.0
275	0.0	0.004	1.0
300	0.0	0.997	1.0
325	0.002	1.0	0.998
350	0.0	1.0	1.0
375	0.029	1.0	1.0
400	0.052	1.0	0.998
425	0.009	1.0	1.0
450	0.163	1.0	1.0
475	1.0	1.0	1.0
500	1.0	1.0	1.0
