judge_count	hedge	max_mean_ns	MTF
25	0.0	0.0	0.0
50	0.0	0.0	0.0
75	0.0	0.0	0.0
100	0.0	0.0	0.0
125	0.0	0.053	0.615
150	0.0	0.102	1.0
175	0.003	0.867	0.999
200	0.005	0.91	0.998
225	0.003	0.965	1.0
250	0.003	1.0	1.0
275	0.023	1.0	1.0
300	0.248	1.0	1.0
325	0.86	1.0	1.0
350	0.969	1.0	1.0
375	1.0	1.0	1.0
400	0.0	0.997	1.0
425	1.0	0.998	1.0
450	1.0	1.0	1.0
475	1.0	1.0	1.0
500	1.0	1.0	1.0
