judge_count	hedge	max_mean_ns	MTF
25	0.1185		
50	0.2142	0.2315	0.2537
75	0.2891		
100	0.358	0.4231	0.4575
125	0.4168		
150	0.4698	0.5785	0.612
175	0.518		
200	0.5559	0.6983	0.7363
225	0.5881		
250	0.6175	0.7896	0.82
275	0.6566		
300	0.686	0.8518	0.8869
325	0.7093		
350	0.7404	0.8949	0.9366
375	0.7686		
400	0.7978	0.9231	0.9583
425	0.8224		
450	0.8496	0.9438	0.9713
475	0.8732		
500	0.8898	0.959	0.9819
