judge_count	hedge	max_mean_ns	MTF
25	53		
50	47	34.0	29.0
75	30		
100	26	30.0	20.0
125	26		
150	25	26.0	11.0
175	24		
200	22	20.0	11.0
225	19		
250	19	13.0	12.0
275	19		
300	19	10.0	9.0
325	18		
350	17	10.0	7.0
375	16		
400	16	8.0	3.0
425	16		
450	12	7.0	2.0
475	12		
500	12	5.0	2.0
