judge_count	hedge	max_mean_ns	MTF
25	23		
50	14	18.0	13.0
75	12		
100	10	14.0	11.0
125	10		
150	10	12.0	10.0
175	9		
200	9	12.0	6.0
225	7		
250	7	6.0	6.0
275	7		
300	7	6.0	6.0
325	6		
350	6	6.0	3.0
375	6		
400	6	6.0	1.0
425	6		
450	7	3.0	1.0
475	7		
500	7	2.0	3.0
