judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	7.2536	12.902	7.5738	11.897	8.199	18.555	14.902	122.04	13.951	14.263
100	7.3467	6.7309	4.5853	8.0837	5.955	10.24	12.7	47.426	10.414	6.493
150	4.2803	5.8593	4.6706	5.2782	4.7533	10.403	7.0579	41.801	6.8433	6.9111
200	3.8258	3.593	4.1083	4.9601	4.8596	9.0321	4.3069	207.83	5.4632	3.1625
250	2.8893	2.7348	3.243	4.7231	3.8929	8.1731	4.0875	79.951	3.833	2.706
300	3.2708	1.8465	2.615	3.5978	3.7282	7.7412	3.4691	53.444	3.6465	5.6361
350	2.7869	2.7896	2.3108	3.188	3.0114	8.0673	3.6238	40.477	3.1657	2.1625
400	2.0231	1.1346	1.9641	2.859	2.5029	7.0934	3.1993	246.57	3.2922	2.2697
450	1.2385	0.9959	1.6146	2.166	2.0234	6.439	2.9512	194.69	2.9548	1.3502
500	1.2168	0.5801	1.506	2.144	1.9682	5.3948	2.5811	218.49	2.5261	2.6256
