judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	0.9009	0.8623	0.8822	0.8824	0.8816	0.6776	0.8454	0.5852	0.85	0.8242
100	0.9178	0.909	0.912	0.9115	0.9069	0.7619	0.8888	0.6599	0.8945	0.8958
150	0.9363	0.9281	0.9224	0.9295	0.9219	0.7861	0.9021	0.7096	0.9055	0.9353
200	0.9412	0.9404	0.9391	0.9402	0.9337	0.8078	0.9176	0.7064	0.9202	0.9432
250	0.9466	0.9557	0.9476	0.9458	0.9458	0.8268	0.9259	0.7072	0.9299	0.9506
300	0.9555	0.9629	0.9579	0.9533	0.95	0.8446	0.9377	0.7171	0.9363	0.9581
350	0.9581	0.9726	0.9605	0.9549	0.953	0.8508	0.9396	0.7155	0.946	0.9685
400	0.9718	0.9782	0.9643	0.9587	0.9579	0.8615	0.95	0.7415	0.9528	0.9702
450	0.979	0.982	0.971	0.9653	0.9651	0.8749	0.9549	0.759	0.9565	0.975
500	0.9822	0.9877	0.974	0.9659	0.97	0.8904	0.9565	0.7418	0.9605	0.9744
