judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	20	36	20	36	23	46	28	39	20	27
100	16	31	25	33	17	45	11	32	10	13
150	16	27	24	31	16	42	11	32	11	8
200	15	21	20	31	14	41	12	32	9	7
250	14	17	18	31	13	40	13	33	10	7
300	12	13	18	25	13	40	9	30	8	5
350	10	12	17	24	12	40	8	30	7	5
400	6	10	15	22	10	38	11	31	7	5
450	4	6	13	18	10	35	9	26	7	5
500	4	3	13	17	8	33	9	29	6	5
