judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	9	16	11	14	11	46	29	47	23	26
100	7	8	8	7	9	36	11	46	11	9
150	6	7	5	5	7	31	10	35	10	8
200	5	7	4	4	6	30	9	45	8	7
250	4	4	4	4	5	25	6	38	7	4
300	4	4	4	4	4	22	6	57	6	4
350	4	3	4	3	4	18	5	56	5	4
400	4	2	3	3	4	15	4	36	4	3
450	4	2	2	3	4	10	4	37	4	3
500	4	2	2	3	4	7	4	39	4	3
