judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
150	0.0	0.003	0.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0
200	0.193	0.665	0.154	0.002	0.0	0.0	0.0	0.0	0.0	0.0
250	0.966	1.0	0.975	0.999	0.684	0.0	0.0	0.0	0.0	0.004
300	1.0	1.0	1.0	1.0	0.989	0.0	0.411	0.0	0.361	0.192
350	1.0	1.0	1.0	1.0	1.0	0.0	0.998	0.0	1.0	0.999
400	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.999	1.0
450	1.0	1.0	1.0	1.0	1.0	0.006	1.0	0.0	1.0	1.0
500	1.0	1.0	1.0	1.0	1.0	0.154	1.0	0.0	1.0	1.0
