judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	0.2507	0.2332	0.2417	0.2783	0.2289	0.1936	0.188	0.0239	0.1771	0.1833
100	0.3688	0.3641	0.3602	0.445	0.3337	0.2982	0.2768	0.047	0.2764	0.2965
150	0.4563	0.4514	0.4311	0.55	0.4082	0.3784	0.3476	0.0776	0.3498	0.4017
200	0.5226	0.5194	0.4987	0.6221	0.4694	0.4373	0.409	0.0999	0.4133	0.4882
250	0.5817	0.568	0.556	0.6854	0.5201	0.4871	0.4593	0.1234	0.4638	0.5455
300	0.6249	0.6138	0.5977	0.7327	0.5581	0.5331	0.4982	0.1482	0.5029	0.587
350	0.6602	0.6559	0.6302	0.7725	0.5973	0.5738	0.5402	0.1801	0.5445	0.6221
400	0.6929	0.7002	0.6675	0.7958	0.629	0.6067	0.5714	0.2083	0.5765	0.6519
450	0.7214	0.7319	0.6979	0.8207	0.657	0.6399	0.6044	0.2336	0.6074	0.6814
500	0.7456	0.7573	0.727	0.8406	0.6827	0.6688	0.6322	0.2614	0.6364	0.7064
