judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	0.105	0.011	0.054	0.005	0.003	0.0	0.0	0.0	0.0	0.0
150	0.99	0.221	0.279	0.52	0.888	0.0	0.0	0.0	0.011	0.605
200	0.995	0.969	0.995	1.0	0.996	0.0	0.66	0.0	0.789	0.999
250	0.996	1.0	0.998	1.0	0.998	0.0	0.991	0.0	0.985	1.0
300	1.0	1.0	1.0	1.0	1.0	0.0	0.981	0.0	0.991	1.0
350	1.0	1.0	1.0	1.0	1.0	0.0	0.997	0.0	0.998	1.0
400	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
450	1.0	1.0	1.0	1.0	1.0	0.902	1.0	0.0	1.0	1.0
500	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.0	1.0	1.0
