judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	0.8573	0.8771	0.8724	0.9034	0.851	0.7437	0.821	0.5158	0.8259	0.8036
100	0.9067	0.9229	0.9274	0.9451	0.9027	0.8281	0.8783	0.5688	0.8774	0.8747
150	0.9344	0.9383	0.943	0.9566	0.9269	0.8631	0.9101	0.5887	0.9084	0.9268
200	0.9469	0.9583	0.9549	0.9616	0.9433	0.8902	0.9302	0.6318	0.9287	0.9473
250	0.9585	0.9628	0.9625	0.9682	0.9573	0.9097	0.9401	0.6488	0.9419	0.9599
300	0.9691	0.9685	0.9664	0.9757	0.9647	0.9239	0.9502	0.6833	0.9515	0.9629
350	0.9738	0.9747	0.9728	0.9797	0.9688	0.9321	0.9619	0.7365	0.9608	0.9708
400	0.9787	0.98	0.9771	0.9817	0.9751	0.9383	0.9684	0.7363	0.9681	0.9767
450	0.9809	0.9846	0.9823	0.987	0.9802	0.9528	0.9733	0.7562	0.9741	0.978
500	0.9846	0.9856	0.986	0.9885	0.983	0.9602	0.978	0.7715	0.9789	0.9813
