judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	10	12	11	13	12	32	13	35	13	17
100	7	9	9	15	9	28	11	32	11	10
150	6	9	9	13	9	26	9	23	8	6
200	5	7	5	12	6	23	7	26	8	6
250	3	5	5	13	5	19	5	25	7	6
300	3	5	4	13	7	17	7	29	6	6
350	4	4	4	12	5	15	6	25	6	5
400	4	3	4	12	5	14	6	25	7	6
450	5	3	3	11	3	14	7	21	6	5
500	5	3	3	11	3	13	5	27	4	5
