judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	363.2	193.7	244.75	126.32	314.24	392.88	411.53	849.15	416.91	474.28
100	124.59	50.537	62.819	11.263	37.878	275.46	174.07	603.71	252.88	263.26
150	31.173	6.9193	5.6318	14.316	14.515	164.89	36.452	631.67	60.342	112.64
200	5.3566	4.5048	5.4618	7.345	17.487	172.16	22.875	469.36	10.373	21.787
250	3.6333	2.7536	3.5504	2.9842	4.4748	157.05	7.9326	552.4	8.2745	6.7709
300	2.2956	2.1039	2.7609	2.2332	3.3333	36.062	4.9325	587.74	5.0194	5.3609
350	2.153	1.5756	1.9738	1.6239	1.8633	37.301	3.1903	450.09	2.6904	3.055
400	1.9132	1.332	1.4127	1.4837	1.7703	132.97	2.8901	531.75	3.0737	2.033
450	2.0493	1.0902	1.3481	0.9283	1.6467	6.6621	1.7609	325.62	1.9701	2.0837
500	1.2646	0.8686	1.039	0.6346	1.146	5.4627	1.5793	307.67	1.3732	1.8328
