judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	23	18	23	15	22	44	24	61	22	32
100	14	9	13	9	15	35	16	60	17	21
150	9	7	9	7	12	32	13	58	14	11
200	8	6	7	7	8	25	11	46	11	7
250	6	5	6	6	7	21	9	44	9	5
300	4	5	6	5	6	15	8	43	8	5
350	4	4	6	4	5	15	6	26	6	5
400	4	4	4	4	5	14	5	51	5	5
450	3	3	3	3	4	10	5	42	4	5
500	3	3	3	2	4	10	5	39	5	4
