judge_count	max_mean_ns	hedge	MTF
25	0.0	0.0	0.0
50	0.0	0.0	0.0
75	0.0	0.0	0.0
100	0.0	0.0	0.0
125	0.0	0.0	0.0
150	0.001	0.001	0.001
175	0.019	0.002	0.002
200	0.074	0.141	0.02
225	0.227	0.356	0.079
250	0.388	0.459	0.155
275	0.654	0.43	0.251
300	0.806	0.474	0.663
325	0.814	0.763	0.672
350	0.907	0.952	0.725
375	0.992	0.986	0.729
400	0.998	0.981	0.952
425	0.998	0.988	0.987
450	1.0	0.999	0.984
475	1.0	1.0	1.0
500	1.0	1.0	1.0
