judge_count	max_mean_ns	hedge	MTF
25	23.003	21.309	20.484
50	17.321	18.59	17.401
75	13.977	12.915	14.045
100	11.077	10.548	10.911
125	10.1	8.9739	9.6689
150	9.4415	8.3576	9.1608
175	8.6802	7.6825	8.8733
200	6.6507	7.0733	7.7317
225	5.7749	5.8624	5.9515
250	5.3292	6.0805	5.6932
275	5.1637	5.3352	5.3918
300	5.0374	4.9139	5.1846
325	4.6784	4.0031	5.1162
350	4.5099	4.8317	4.9195
375	4.3488	4.3952	4.8807
400	4.2459	3.7786	4.3864
425	4.2351	3.4586	4.6141
450	4.1742	4.6797	4.1355
475	3.8469	4.4978	3.271
500	3.7915	4.2591	3.4636
