judge_count	max_mean_ns	hedge	MTF
25	20.417	21.123	18.216
50	14.936	16.056	14.354
75	12.263	13.177	11.719
100	10.455	10.811	10.545
125	9.5744	9.1099	9.4591
150	7.8635	7.5442	7.8256
175	6.2823	6.9699	7.3835
200	5.7997	5.5004	6.2597
225	5.2856	5.0296	5.768
250	4.9774	4.8407	5.4519
275	4.5185	4.8829	5.231
300	4.208	4.7982	4.5083
325	4.1841	4.3143	4.4976
350	3.9804	3.7637	4.3882
375	3.2866	3.379	4.3785
400	3.1309	3.4881	3.7635
425	3.1853	3.3442	3.3507
450	2.5655	3.0211	3.4089
475	2.1856	2.5299	2.3469
500	2.1848	2.5797	2.3604
