judge_count	max_mean_ns	hedge	MTF
25			
50	37.0	33.0	31.0
75			
100	23.0	22.0	22.0
125			
150	16.0	16.0	16.0
175			
200	13.0	12.0	13.0
225			
250	11.0	11.0	11.0
275			
300	10.0	10.0	10.0
325			
350	8.0	10.0	10.0
375			
400	6.0	9.0	8.0
425			
450	6.0	7.0	6.0
475			
500	5.0	6.0	6.0
