judge_count	max_mean_ns	hedge	MTF
25	0.0	0.0	0.0
50	0.0	0.0	0.0
75	0.0	0.0	0.0
100	0.0	0.0	0.0
125	0.0	0.0	0.0
150	0.0	0.0	0.0
175	0.0	0.0	0.0
200	0.007	0.001	0.0
225	0.08	0.065	0.046
250	0.209	0.03	0.102
275	0.289	0.207	0.187
300	0.358	0.439	0.278
325	0.59	0.906	0.322
350	0.689	0.488	0.436
375	0.778	0.763	0.465
400	0.807	0.953	0.764
425	0.811	0.991	0.626
450	0.836	0.59	0.861
475	0.939	0.698	0.998
500	0.95	0.802	0.991
