judge_count	max_mean_ns	hedge	MTF
25			
50	34.0	33.0	30.0
75			
100	19.0	21.0	18.0
125			
150	17.0	16.0	15.0
175			
200	13.0	13.0	13.0
225			
250	11.0	13.0	13.0
275			
300	11.0	12.0	12.0
325			
350	11.0	12.0	12.0
375			
400	9.0	12.0	10.0
425			
450	8.0	12.0	9.0
475			
500	8.0	12.0	8.0
