judge_count	max_mean_ns	hedge	MTF
25	0.6872	0.5759	0.6947
50	0.7671	0.766	0.7884
75	0.8249	0.8151	0.8387
100	0.8667	0.857	0.8677
125	0.8857	0.8828	0.889
150	0.8959	0.8968	0.8968
175	0.9073	0.911	0.9051
200	0.9223	0.9146	0.918
225	0.9338	0.9188	0.9246
250	0.9468	0.9283	0.9325
275	0.9486	0.9358	0.9363
300	0.9545	0.944	0.9455
325	0.9585	0.9488	0.9532
350	0.9608	0.9506	0.9583
375	0.9623	0.955	0.9623
400	0.965	0.9606	0.9641
425	0.9681	0.9638	0.9655
450	0.9708	0.9641	0.969
475	0.9725	0.9668	0.9723
500	0.9723	0.9675	0.9698
