judge_count	max_mean_ns	hedge	MTF
25			
50	0.2196	0.2351	0.2145
75			
100	0.3108	0.3324	0.3126
125			
150	0.3748	0.3936	0.3681
175			
200	0.4252	0.4371	0.4135
225			
250	0.4664	0.4669	0.452
275			
300	0.4983	0.4944	0.4843
325			
350	0.5255	0.5149	0.5133
375			
400	0.5482	0.5367	0.5405
425			
450	0.5689	0.5548	0.5627
475			
500	0.5884	0.5712	0.5813
