judge_count	max_mean_ns	hedge	MTF
25	0.0	0.0	0.0
50	0.0	0.0	0.0
75	0.0	0.002	0.03
100	0.202	0.026	0.111
125	0.359	0.339	0.72
150	0.597	0.72	0.857
175	0.934	0.966	0.819
200	0.999	0.992	0.961
225	1.0	0.999	1.0
250	1.0	1.0	1.0
275	1.0	1.0	1.0
300	1.0	1.0	1.0
325	1.0	1.0	1.0
350	1.0	1.0	1.0
375	1.0	1.0	1.0
400	1.0	1.0	1.0
425	1.0	1.0	1.0
450	1.0	1.0	1.0
475	1.0	1.0	1.0
500	1.0	1.0	1.0
