judge_count	max_mean_ns	hedge	MTF
25			
50	29.0	31.0	28.0
75			
100	21.0	20.0	21.0
125			
150	18.0	17.0	19.0
175			
200	16.0	15.0	16.0
225			
250	14.0	14.0	15.0
275			
300	12.0	13.0	14.0
325			
350	11.0	13.0	11.0
375			
400	10.0	11.0	10.0
425			
450	7.0	10.0	9.0
475			
500	7.0	10.0	10.0
