judge_count	max_mean_ns	hedge	MTF
25			
50	25.0	22.0	23.0
75			
100	15.0	17.0	15.0
125			
150	11.0	11.0	11.0
175			
200	10.0	10.0	10.0
225			
250	7.0	10.0	10.0
275			
300	7.0	8.0	9.0
325			
350	7.0	7.0	7.0
375			
400	7.0	7.0	7.0
425			
450	7.0	7.0	7.0
475			
500	6.0	7.0	7.0
