judge_count	max_mean_ns	hedge	MTF
25	0.0	0.0	0.0
50	0.0	0.0	0.0
75	0.0	0.0	0.0
100	0.003	0.003	0.003
125	0.078	0.216	0.046
150	0.036	0.55	0.075
175	0.374	0.818	0.305
200	0.747	0.869	0.628
225	0.965	0.93	0.881
250	1.0	0.974	0.96
275	1.0	0.998	0.994
300	1.0	0.998	0.999
325	1.0	0.999	1.0
350	1.0	1.0	1.0
375	1.0	1.0	1.0
400	1.0	1.0	1.0
425	1.0	1.0	1.0
450	1.0	1.0	1.0
475	1.0	1.0	1.0
500	1.0	1.0	1.0
