judge_count	hedge	max_mean_ns	MTF
25	0.1163		
50	0.2169	0.2215	0.2365
75	0.3027		
100	0.3763	0.4176	0.4383
125	0.4483		
150	0.5066	0.5814	0.6072
175	0.5678		
200	0.6254	0.7087	0.7255
225	0.6748		
250	0.7235	0.7932	0.8146
275	0.7691		
300	0.8005	0.8446	0.87
325	0.8308		
350	0.8547	0.8789	0.9037
375	0.873		
400	0.8879	0.9082	0.9209
425	0.9011		
450	0.9089	0.9233	0.9299
475	0.9156		
500	0.9189	0.9322	0.936
