judge_count	hedge	max_mean_ns	MTF
25	17		
50	14	15.0	14.0
75	11		
100	11	10.0	6.0
125	10		
150	10	8.0	5.0
175	9		
200	8	5.0	4.0
225	4		
250	4	4.0	3.0
275	4		
300	4	4.0	3.0
325	3		
350	3	3.0	2.0
375	3		
400	3	2.0	2.0
425	2		
450	2	2.0	2.0
475	2		
500	2	2.0	2.0
