judge_count	hedge	max_mean_ns	MTF
25	13		
50	10	12.0	12.0
75	10		
100	10	10.0	7.0
125	10		
150	9	6.0	5.0
175	6		
200	6	4.0	3.0
225	6		
250	5	3.0	3.0
275	3		
300	3	3.0	3.0
325	3		
350	3	3.0	3.0
375	3		
400	3	3.0	2.0
425	3		
450	2	2.0	2.0
475	2		
500	2	2.0	2.0
