judge_count	hedge	max_mean_ns	MTF
25	0.0	0.0	0.0
50	0.0	0.0	0.0
75	0.0	0.0	0.0
100	0.0	0.003	0.459
125	0.0	1.0	1.0
150	0.977	1.0	1.0
175	1.0	1.0	1.0
200	1.0	1.0	1.0
225	1.0	1.0	1.0
250	1.0	1.0	1.0
275	1.0	1.0	1.0
300	1.0	1.0	1.0
325	1.0	1.0	1.0
350	1.0	1.0	1.0
375	1.0	1.0	1.0
400	1.0	1.0	1.0
425	1.0	1.0	1.0
450	1.0	1.0	1.0
475	1.0	1.0	1.0
500	1.0	1.0	1.0
